experiment_id,candidate_id,level,metric,unit,n,mean,median,cv_pct,mad,max,min,sample_sd
config_search_v1,expert-seq256-bt8192-chunk,L0,avg_power_per_gpu_w,W,1,645.4710756366884,645.4710756366884,0.0,0.0,645.4710756366884,645.4710756366884,0.0
config_search_v1,expert-seq256-bt8192-chunk,L0,avg_power_w,W,1,645.4710756366884,645.4710756366884,0.0,0.0,645.4710756366884,645.4710756366884,0.0
config_search_v1,expert-seq256-bt8192-chunk,L0,capacity_tok_s,tokens/s,1,1769.8446605946729,1769.8446605946729,0.0,0.0,1769.8446605946729,1769.8446605946729,0.0
config_search_v1,expert-seq256-bt8192-chunk,L0,duration_s,s,1,18.514619237255467,18.514619237255467,0.0,0.0,18.514619237255467,18.514619237255467,0.0
config_search_v1,expert-seq256-bt8192-chunk,L0,energy_j,J,1,11950.65119407501,11950.65119407501,0.0,0.0,11950.65119407501,11950.65119407501,0.0
config_search_v1,expert-seq256-bt8192-chunk,L0,energy_j_per_1k_output_tokens,J/1k_tokens,1,364.7049314598086,364.7049314598086,0.0,0.0,364.7049314598086,364.7049314598086,0.0
config_search_v1,expert-seq256-bt8192-chunk,L0,energy_j_per_1k_output_tokens_lower,J/1k_tokens,1,185.27010518158278,185.27010518158278,0.0,0.0,185.27010518158278,185.27010518158278,0.0
config_search_v1,expert-seq256-bt8192-chunk,L0,energy_j_per_1k_output_tokens_upper,J/1k_tokens,1,544.1397577380344,544.1397577380344,0.0,0.0,544.1397577380344,544.1397577380344,0.0
config_search_v1,expert-seq256-bt8192-chunk,L0,energy_j_per_1k_tokens,J/1k_tokens,1,364.7049314598086,364.7049314598086,0.0,0.0,364.7049314598086,364.7049314598086,0.0
config_search_v1,expert-seq256-bt8192-chunk,L0,energy_j_per_1k_tokens_lower,J/1k_tokens,1,185.27010518158278,185.27010518158278,0.0,0.0,185.27010518158278,185.27010518158278,0.0
config_search_v1,expert-seq256-bt8192-chunk,L0,energy_j_per_1k_tokens_upper,J/1k_tokens,1,544.1397577380344,544.1397577380344,0.0,0.0,544.1397577380344,544.1397577380344,0.0
config_search_v1,expert-seq256-bt8192-chunk,L0,energy_j_per_1k_total_tokens,J/1k_tokens,1,21.453231262341685,21.453231262341685,0.0,0.0,21.453231262341685,21.453231262341685,0.0
config_search_v1,expert-seq256-bt8192-chunk,L0,estimated_memory_gib,GiB,1,21.893479585647583,21.893479585647583,0.0,0.0,21.893479585647583,21.893479585647583,0.0
config_search_v1,expert-seq256-bt8192-chunk,L0,gpu_energy_j,J,1,11950.65119407501,11950.65119407501,0.0,0.0,11950.65119407501,11950.65119407501,0.0
config_search_v1,expert-seq256-bt8192-chunk,L0,j_per_output_token,J/token,1,0.36470493145980865,0.36470493145980865,0.0,0.0,0.36470493145980865,0.36470493145980865,0.0
config_search_v1,expert-seq256-bt8192-chunk,L0,j_per_total_token,J/token,1,0.021453231262341686,0.021453231262341686,0.0,0.0,0.021453231262341686,0.021453231262341686,0.0
config_search_v1,expert-seq256-bt8192-chunk,L0,relative_uncertainty,,1,0.492,0.492,0.0,0.0,0.492,0.492,0.0
config_search_v1,expert-seq256-bt8192-chunk,L0,request_throughput_req_s,requests/s,1,13.826911410895882,13.826911410895882,0.0,0.0,13.826911410895882,13.826911410895882,0.0
config_search_v1,expert-seq256-bt8192-chunk,L0,throughput_tok_s,tokens/s,1,1769.8446605946729,1769.8446605946729,0.0,0.0,1769.8446605946729,1769.8446605946729,0.0
config_search_v1,expert-seq256-bt8192-chunk,L0,throughput_tok_s_lower,,1,899.0810875820938,899.0810875820938,0.0,0.0,899.0810875820938,899.0810875820938,0.0
config_search_v1,expert-seq256-bt8192-chunk,L0,throughput_tok_s_upper,,1,2640.608233607252,2640.608233607252,0.0,0.0,2640.608233607252,2640.608233607252,0.0
config_search_v1,expert-seq256-bt8192-chunk,L0,total_gpu_power_w,W,1,645.4710756366884,645.4710756366884,0.0,0.0,645.4710756366884,645.4710756366884,0.0
config_search_v1,expert-seq256-bt8192-chunk,L0,tpot_ms,ms,1,16.940630681881178,16.940630681881178,0.0,0.0,16.940630681881178,16.940630681881178,0.0
