experiment_id,budget_gpu_hours,policy,seed,status,spent_gpu_hours,action_count,best_primary_regret_pct,exploration_gpu_hours,failed_action_count,first_oracle_hit_gpu_hours,l4_verification_count,oracle_pareto_precision,oracle_pareto_recall,primary_metric,search_stop_reason,semantic_guard_active,unnecessary_l4_verifications,verification_gpu_hours,verified_ids
policy_benchmark_v1,0.12,ipig,0,verified,0.06300664983305776,22,0.3753392686090037,0.04416691967639053,0,,2,0.0,0.0,energy_j_per_1k_output_tokens,max_steps,true,2,0.018839730156667227,"[""seq32-bt8192-chunk"",""seq32-bt8192-nochunk""]"
policy_benchmark_v1,0.12,ipig,1,verified,0.0632758107625058,22,0.0,0.04423601672639051,0,0.0632758107625058,2,1.0,1.0,energy_j_per_1k_output_tokens,max_steps,true,1,0.01903979403611528,"[""seq32-bt2048-chunk""]"
policy_benchmark_v1,0.12,ipig,2,verified,0.05372504205444178,21,1.0516080484518449,0.04429791371610918,0,,1,0.0,0.0,energy_j_per_1k_output_tokens,max_steps,true,1,0.009427128338332598,"[""expert-seq256-bt8192-chunk""]"
policy_benchmark_v1,0.12,ipig,3,verified,0.06300664983305776,22,0.3753392686090037,0.04416691967639053,0,,2,0.0,0.0,energy_j_per_1k_output_tokens,max_steps,true,2,0.018839730156667227,"[""seq32-bt8192-chunk"",""seq32-bt8192-nochunk""]"
policy_benchmark_v1,0.12,ipig,4,verified,0.0632758107625058,22,0.0,0.04423601672639051,0,0.0632758107625058,2,1.0,1.0,energy_j_per_1k_output_tokens,max_steps,true,1,0.01903979403611528,"[""seq32-bt2048-chunk""]"
policy_benchmark_v1,0.12,ipig,5,verified,0.05372504205444178,21,1.0516080484518449,0.04429791371610918,0,,1,0.0,0.0,energy_j_per_1k_output_tokens,max_steps,true,1,0.009427128338332598,"[""expert-seq256-bt8192-chunk""]"
policy_benchmark_v1,0.12,ipig,6,verified,0.06300664983305776,22,0.3753392686090037,0.04416691967639053,0,,2,0.0,0.0,energy_j_per_1k_output_tokens,max_steps,true,2,0.018839730156667227,"[""seq32-bt8192-chunk"",""seq32-bt8192-nochunk""]"
policy_benchmark_v1,0.12,ipig,7,verified,0.0632758107625058,22,0.0,0.04423601672639051,0,0.0632758107625058,2,1.0,1.0,energy_j_per_1k_output_tokens,max_steps,true,1,0.01903979403611528,"[""seq32-bt2048-chunk""]"
policy_benchmark_v1,0.12,ipig,8,verified,0.05372504205444178,21,1.0516080484518449,0.04429791371610918,0,,1,0.0,0.0,energy_j_per_1k_output_tokens,max_steps,true,1,0.009427128338332598,"[""expert-seq256-bt8192-chunk""]"
policy_benchmark_v1,0.12,ipig,9,verified,0.06300664983305776,22,0.3753392686090037,0.04416691967639053,0,,2,0.0,0.0,energy_j_per_1k_output_tokens,max_steps,true,2,0.018839730156667227,"[""seq32-bt8192-chunk"",""seq32-bt8192-nochunk""]"
policy_benchmark_v1,0.12,ipig,10,verified,0.0632758107625058,22,0.0,0.04423601672639051,0,0.0632758107625058,2,1.0,1.0,energy_j_per_1k_output_tokens,max_steps,true,1,0.01903979403611528,"[""seq32-bt2048-chunk""]"
policy_benchmark_v1,0.12,ipig,11,verified,0.05372504205444178,21,1.0516080484518449,0.04429791371610918,0,,1,0.0,0.0,energy_j_per_1k_output_tokens,max_steps,true,1,0.009427128338332598,"[""expert-seq256-bt8192-chunk""]"
policy_benchmark_v1,0.12,ipig,12,verified,0.06300664983305776,22,0.3753392686090037,0.04416691967639053,0,,2,0.0,0.0,energy_j_per_1k_output_tokens,max_steps,true,2,0.018839730156667227,"[""seq32-bt8192-chunk"",""seq32-bt8192-nochunk""]"
policy_benchmark_v1,0.12,ipig,13,verified,0.0632758107625058,22,0.0,0.04423601672639051,0,0.0632758107625058,2,1.0,1.0,energy_j_per_1k_output_tokens,max_steps,true,1,0.01903979403611528,"[""seq32-bt2048-chunk""]"
